alumno,carrera,sexo,calidad
1,Licenciatura en Obstetricia,F,A
2,Analista en Sistemas de Información,M,A
3,Tecnicatura Universitaria en Agroalimentos,F,P
4,Licenciatura en Kinesiología y Fisiatría,F,A
5,Licenciatura en Kinesiología y Fisiatría,M,A
7,Licenciatura en Enfermería,M,A
8,Licenciatura en Kinesiología y Fisiatría,F,A
9,Licenciatura en Obstetricia,F,A
10,Licenciatura en Enfermería,M,A
11,Licenciatura en Kinesiología y Fisiatría,F,A
12,Licenciatura en Kinesiología y Fisiatría,F,A
13,Ingeniería en Agroindustria,F,P
14,Licenciatura en Kinesiología y Fisiatría,F,A
15,Licenciatura en Enfermería,F,P
16,Tecnicatura Universitaria en Logística,F,P
17,Licenciatura en Obstetricia,F,A
18,Licenciatura en Obstetricia,F,A
19,Licenciatura en Kinesiología y Fisiatría,F,A
20,Licenciatura en Obstetricia,F,A
21,Licenciatura en Enfermería,F,A
22,Licenciatura en Enfermería,F,A
23,Licenciatura en Kinesiología y Fisiatría,F,A
24,Licenciatura en Enfermería,F,A
26,Ingeniería en Agroindustria,M,A
27,Licenciatura en Obstetricia,M,A
28,Licenciatura en Economía,F,A
29,Licenciatura en Obstetricia,F,A
30,Licenciatura en Obstetricia,F,A
31,Licenciatura en Enfermería,F,P
33,Tecnicatura Universitaria en Logística,F,A
34,Tecnicatura Universitaria en Agroalimentos,F,A
35,Tecnicatura Universitaria en Agroalimentos,F,P
36,Licenciatura en Kinesiología y Fisiatría,F,P
37,Licenciatura en Kinesiología y Fisiatría,F,A
38,Licenciatura en Kinesiología y Fisiatría,M,A
39,Licenciatura en Enfermería,F,A
40,Licenciatura en Kinesiología y Fisiatría,F,A
41,Licenciatura en Kinesiología y Fisiatría,F,A
42,Licenciatura en Kinesiología y Fisiatría,F,A
43,Licenciatura en Kinesiología y Fisiatría,M,P
44,Tecnicatura Universitaria en Agroalimentos,F,A
45,Licenciatura en Kinesiología y Fisiatría,F,A
46,Licenciatura en Kinesiología y Fisiatría,F,P
47,Licenciatura en Obstetricia,F,A
48,Licenciatura en Kinesiología y Fisiatría,M,P
49,Licenciatura en Kinesiología y Fisiatría,M,A
50,Tecnicatura Universitaria en Diseño de Comunicación,M,A
51,Bioingeniería,M,A
52,Licenciatura en Kinesiología y Fisiatría,F,P
53,Licenciatura en Obstetricia,F,A
54,Licenciatura en Obstetricia,F,A
55,Licenciatura en Kinesiología y Fisiatría,F,P
56,Analista en Sistemas de Información,M,A
57,Tecnicatura Universitaria en Agroalimentos,F,P
58,Licenciatura en Enfermería,F,A
59,Licenciatura en Kinesiología y Fisiatría,F,A
60,Tecnicatura Universitaria en Agroalimentos,M,P
61,Licenciatura en Kinesiología y Fisiatría,M,A
62,Programador Universitario de Sistemas,F,A
63,Tecnicatura Universitaria en Logística,M,P
64,Licenciatura en Obstetricia,F,P
65,Licenciatura en Kinesiología y Fisiatría,M,P
66,Licenciatura en Enfermería,F,A
67,Licenciatura en Enfermería,F,A
68,Tecnicatura Universitaria en Logística,F,P
69,Licenciatura en Economía,F,A
71,Tecnicatura Universitaria en Agroalimentos,F,A
72,Licenciatura en Enfermería,F,P
73,Licenciatura en Kinesiología y Fisiatría,F,A
74,Licenciatura en Kinesiología y Fisiatría,F,P
75,Licenciatura en Kinesiología y Fisiatría,F,P
76,Licenciatura en Obstetricia,F,A
77,Licenciatura en Kinesiología y Fisiatría,F,P
78,Licenciatura en Enfermería,F,A
79,Tecnicatura Universitaria en Logística,F,P
80,Analista en Sistemas de Información,M,A
81,Licenciatura en Enfermería,F,A
82,Licenciatura en Kinesiología y Fisiatría,F,A
83,Licenciatura en Kinesiología y Fisiatría,F,A
84,Licenciatura en Kinesiología y Fisiatría,F,A
85,Tecnicatura Universitaria en Logística,M,P
86,Licenciatura en Enfermería,F,P
87,Licenciatura en Enfermería,F,A
88,Licenciatura en Kinesiología y Fisiatría,F,A
89,Licenciatura en Kinesiología y Fisiatría,F,A
90,Licenciatura en Enfermería,F,A
91,Licenciatura en Obstetricia,F,A
92,Licenciatura en Kinesiología y Fisiatría,M,P
93,Licenciatura en Kinesiología y Fisiatría,F,A
94,Licenciatura en Kinesiología y Fisiatría,F,A
95,Bioingeniería,F,A
96,Licenciatura en Kinesiología y Fisiatría,F,A
